conf5-3-./batchseries02/batch01-08,.625,-362.80094924,0.786264
conf5-3-./batchseries02/batch01-09,.625,-362.85268858,0.811428
conf5-3-./batchseries02/batch01-10,.625,-362.53041947,0.721091
conf5-3-./batchseries03/batch00-01,.625,-362.67836357,0.783127
conf5-3-./batchseries03/batch00-02,.625,-362.64667218,0.710981
conf5-3-./batchseries03/batch00-03,.625,-362.83934112,0.796717
conf5-3-./batchseries03/batch00-04,.625,-362.86765602,0.802018
conf5-3-./batchseries03/batch00-05,.625,-362.78118461,0.829986
conf5-3-./batchseries03/batch00-06,.625,-362.70127105,0.769335
conf5-3-./batchseries03/batch00-07,.625,-362.44094177,0.7315
conf5-3-./batchseries03/batch00-08,.625,-362.94613667,0.838086
conf5-3-./batchseries03/batch00-09,.625,-362.49835811,0.782309
conf5-3-./batchseries03/batch00-10,.625,-362.69590972,0.723716
conf5-3-./batchseries03/batch01-01,.625,-362.82235457,0.807774
conf5-3-./batchseries03/batch01-02,.625,-362.55809042,0.733057
conf5-3-./batchseries03/batch01-03,.625,-362.74731487,0.741816
conf5-3-./batchseries03/batch01-04,.625,-362.50613439,0.747155
conf5-3-./batchseries03/batch01-05,.625,-362.89723802,0.813813
conf5-3-./batchseries03/batch01-06,.625,-362.61385391,0.698248
conf5-3-./batchseries03/batch01-07,.625,-362.61193002,0.700257
conf5-3-./batchseries03/batch01-08,.625,-362.80178833,0.805785
conf5-3-./batchseries03/batch01-09,.625,-362.83849687,0.827188
conf5-3-./batchseries03/batch01-10,.625,-362.83088473,0.843245
conf5-3-./batchseries04/batch00-01,.625,-362.85708078,0.794724
conf5-3-./batchseries04/batch00-02,.625,-362.86185567,0.809248
conf5-3-./batchseries04/batch00-03,.625,-362.79806477,0.811153
conf5-3-./batchseries04/batch00-04,.625,-362.70324383,0.731287
conf5-3-./batchseries04/batch00-05,.625,-363.00281492,0.851365
conf5-3-./batchseries04/batch00-06,.625,-362.66022674,0.721705
conf5-3-./batchseries04/batch00-07,.625,-362.90671577,0.868726
conf5-3-./batchseries04/batch00-08,.625,-362.81241199,0.845233
conf5-3-./batchseries04/batch00-09,.625,-362.71712519,0.728382
conf5-3-./batchseries04/batch00-10,.625,-362.78142516,0.82881
conf5-3-./batchseries04/batch01-01,.625,-362.81941758,0.850362
conf5-3-./batchseries04/batch01-02,.625,-362.79640872,0.824615
